RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,PREÇO COMPRA,MODELIDADE DE COMPRA,FORNECEDOR (B BRANCA),DATA COLETA,DATA RECUSA,NOTA FISCAL
Auto Posto Mm Ltda,"Rua Vigario Albernaz, 808",Vila Gumercindo,PETROBRAS DISTRIBUIDORA S.A.,4.099,-,-,-,18/11/2019,-,Sim
Auto Posto Jamir Ltda,"Rua Inconfidencia Mineira, 2037",Vila Antonieta,ALESAT,4.099,3.738,FOB,-,19/11/2019,-,Sim
Posto de Serviços Malta 02 Ltda,"Rua Roque Barbosa Lima, 326",Vila Paulo Silas,RAIZEN,4.099,-,-,-,26/11/2019,-,Sim
Posto Passarela Aricanduva Ltda,"Avenida Aricanduva, 9291",Vila Aricanduva,BRANCA,4.099,3.872,CIF,RAIZEN,27/11/2019,-,Sim
Novo Pantera Auto Posto Ltda,"Avenida Conceicao, 4930",Vila Maria,BRANCA,4.099,-,-,-,27/11/2019,-,Sim
Start Auto Posto Ltda,"Avenida Sao Raimundo, 2125",Vila California,RAIZEN,4.099,3.831,FOB,-,27/11/2019,-,Sim
Centro Automotivo Lyon Ltda,"Avenida Padre Arlindo Vieira, 2769",Pq Bristol,RAIZEN,4.099,3.842,FOB,-,25/11/2019,-,Sim
Auto Posto Cinco Esquinas Ltda,"Praça José Manoel da Fonseca, 02",Vila Maria Alta,PETROBRAS DISTRIBUIDORA S.A.,4.099,3.774,CIF,-,27/11/2019,-,Sim
Auto Posto Jardim Itaquera Ltda,"Rua Augusto Carlos Baumann, 756",Itaquera,BRANCA,4.099,3.657,FOB,-,27/11/2019,-,Sim
Reunidos Auto Posto Ltda,"Rua Augusto Carlos Baumann, 327 Antigo 103",Itaquera,PETROBRAS DISTRIBUIDORA S.A.,4.099,-,-,-,27/11/2019,-,Sim
Companhia Brasileira de Distribuicao,"Rua Leopoldo Couto de Magalhaes, 356",Itaim Bibi,IPIRANGA,4.099,3.919,FOB,-,13/11/2019,-,Sim
Queens Auto Posto Ltda.,"Avenida Santo Amaro, 2250",Brooklin,ALESAT,4.099,-,-,-,13/11/2019,-,Sim
Centro Automotivo Madri Ltda.,"Rua Orfanato, 1074",Vila Prudente,PETROBRAS DISTRIBUIDORA S.A.,4.099,3.762,FOB,-,12/11/2019,-,Sim
Auto Servicos Mapeli Ltda,"Rua Tiburcio de Souza, 2496",Jardim Nossa Senhora do Caminho,ZEMA,4.139,-,-,-,27/11/2019,-,Sim
Argetax Administracao e Participacoes em Empreendimentos Comerciais Ltda,"Rua Regina Aragao, 38",Vl Moinho Velho,RAIZEN,4.149,-,-,-,25/11/2019,-,Sim
Auto Posto Estrela do Leste Eireli,"Rua Galileu Menon, 95",Vl Re,PETROBRAS DISTRIBUIDORA S.A.,4.149,-,-,-,21/11/2019,-,Sim
J. A. Comercio Varejista de Combustíveis Ltda.,"Avenida Santa Catarina, 479",Vila Alexandria,RAIZEN,4.149,-,-,-,25/11/2019,-,Sim
Posto de Servicos Jardim da Gloria Ltda,"Avenida Lins de Vasconcelos, 1867",Jd da Gloria,IPIRANGA,4.179,-,-,-,12/11/2019,-,Sim
Auto Posto Lageado Ltda,"Avenida Nordestina, 3184",Vila Curuçá,BRANCA,4.179,-,-,-,21/11/2019,-,Sim
Auto Center Sereia Ltda,"Avenida Jose da Nobrega Botelho, 28 245",Vila Zelina,RAIZEN,4.189,3.791,FOB,-,27/11/2019,-,Sim
Auto Posto Jardim Jaragua Ltda,"Estrada Dom Joao Nery, 180",Itaim Paulista,BRANCA,4.197,3.788,FOB,PETROBRAS DISTRIBUIDORA S.A.,21/11/2019,-,Sim
Auto Posto Tiquatirão Ltda,"Rua Coronel Meireles, 1025 1033 - 1043",Vila Lais,PETROBRAS DISTRIBUIDORA S.A.,4.198,-,-,-,13/11/2019,-,Sim
Auto Posto Recanto da Barros Ltda,"Rua Costa Barros, 339",Vila Alpina,IPIRANGA,4.199,3.866,FOB,-,27/11/2019,-,Sim
Auto Posto Portela Ltda,"Rua Vergueiro, 8958",Vila Vera/sacoma,IPIRANGA,4.199,3.882,CIF,-,25/11/2019,-,Sim
Auto Posto Mora Ltda,"Rua Harry Danhenberg, 32/50",Itaquera,IPIRANGA,4.199,-,-,-,27/11/2019,-,Sim
Auto Posto Meta Ltda,"Avenida Maria Coelho Aguiar, 215",Jardim Sao Luis,BRANCA,4.199,-,-,-,26/11/2019,-,Sim
Auto Posto Gusa Ltda,"Estrada das Lagrimas, 3766",Sao Joao Climaco,RAIZEN,4.199,3.83,FOB,-,25/11/2019,-,Sim
Auto Posto Be Ltda,"Avenida Morumbi, 8255",Brooklin,RAIZEN,4.199,3.859,FOB,-,26/11/2019,-,Sim
Auto Posto Abv Ltda,"Avenida Adolfo Pinheiro, 1264",Santo Amaro,RAIZEN,4.199,-,-,-,25/11/2019,-,Sim
Auto Posto Amarinho Franco Ltda,"Avenida Zelina, 432",Vila Zelina,IPIRANGA,4.199,3.871,FOB,-,27/11/2019,-,Sim
Gentil V de Miranda Cia Ltda,"Etr Boi Mirim, 8691",Sto Amaro,BRANCA,4.199,-,-,-,27/11/2019,-,Sim
Escalada Auto Posto Ltda,"Estrada Itapecerica da Serra, 195",Santo Amaro,RAIZEN,4.199,-,-,-,26/11/2019,-,Sim
Auto Posto Virginia Ferni Ltda,"Rua Virginia Ferni, 200",Cohab J.bonifacio,IPIRANGA,4.199,3.845,CIF,-,27/11/2019,-,Sim
Posto de Servicos El Aman Ltda,"Avenida Salim Farah Maluf, 4310",Vila Oratorio,IPIRANGA,4.199,3.819,FOB,-,13/11/2019,-,Sim
Auto Posto Sao Eduardo Ltda,"Avenida Cipriano Rodrigues, 998",Vila Matias,IPIRANGA,4.199,3.784,FOB,-,19/11/2019,-,Sim
Auto Posto Ruda Ltda,"Avenida Pacaembu, 469",Barra Funda,PETROBRAS DISTRIBUIDORA S.A.,4.199,3.818,FOB,-,21/11/2019,-,Sim
Auto Posto Rr Ltda.,"Rua Santa Cruz, 2388",Ipiranga,RAIZEN,4.199,3.769,FOB,-,18/11/2019,-,Sim
Stilus Auto Posto Ltda,"Avenida Inconfidencia Mineira, 959",Vila Rica,IPIRANGA,4.199,-,-,-,19/11/2019,-,Sim
Posto de Servico Novo Barao Ltda,"Avenida Rio Branco, 1400",Campos Elíseos,RAIZEN,4.199,-,-,-,21/11/2019,-,Sim
Posto de Servico Camacho Ltda,"Rua Santa Cruz, 1772",Vila Mariana,IPIRANGA,4.199,-,-,-,18/11/2019,-,Sim
Miracatu Auto Posto Ltda,"Rua Matias Aires, 341",Consolacao,IPIRANGA,4.199,-,-,-,21/11/2019,-,Sim
Via Independencia - Comercio Varejista de Combustiveis Ltda,"Avenida Dr. Gentil de Moura, 537",Ipiranga,IPIRANGA,4.199,3.785,FOB,-,18/11/2019,-,Sim
Netenergy Auto Posto Ltda,"Via Anchieta, 1494",Moinho Velho,IPIRANGA,4.199,3.832,CIF,-,25/11/2019,-,Sim
Centro Automotivo e Comercio de Combustiveis Maxxima I Ltda,"Rua Francisco Rebelo, 891",Vila California,RAIZEN,4.199,3.845,FOB,-,27/11/2019,-,Sim
Equipe I Auto Posto Ltda,"Rua Jose Macedo, 771",Vila Alpina,PETROBRAS DISTRIBUIDORA S.A.,4.199,3.82,FOB,-,27/11/2019,-,Sim
Maria Amelia Auto Posto Ltda,"Avenida Professor Edgard Santos, 600",Jardim Marina,IPIRANGA,4.199,3.81,FOB,-,27/11/2019,-,Sim
Auto Posto Aiwa Ltda,"Avenida das Cerejeiras, 1827",Jardim Japao,RAIZEN,4.199,3.831,FOB,-,27/11/2019,-,Sim
Auto Posto Uniprimos Ltda,"Rua Turiassu, 1499",Perdizes,PETROBRAS DISTRIBUIDORA S.A.,4.199,-,-,-,21/11/2019,-,Sim
Auto Posto M A Ltda,"Avenida Rio das Pedras, 35",Vila Carrão,RAIZEN,4.199,-,-,-,19/11/2019,-,Sim
Jardim Sao Bento Auto Posto Ltda,"Rua Maria Curupaiti, 280",Santana,RAIZEN,4.199,-,-,-,21/11/2019,-,Sim
Auto Posto Manchester Ltda,"Rua Tamainde, 1153",Vl Nova Manchester,IPIRANGA,4.199,3.797,FOB,-,19/11/2019,-,Sim
Anex Automotivo Ltda.,"Rodovia Fernao Dias, S/n Km 87,1",Parque Edu Chaves,PETROBRAS DISTRIBUIDORA S.A.,4.199,3.759,FOB,-,06/11/2019,-,Sim
Posto de Serviços Malta 01 Ltda,"Avenida Professor Luis Ignacio Anhaia Mello, 680",Quinta da Paineira,RAIZEN,4.199,-,-,-,12/11/2019,-,Sim
Auto Posto Aramina Ltda,"Avenida Itaberaba, 3675",Itaberaba,RAIZEN,4.199,3.849,CIF,-,13/11/2019,-,Sim
Auto Posto Novo Ideal Ltda.,"Rua Maria Cândida, 1850",Vila Guilherme,PETROBRAS DISTRIBUIDORA S.A.,4.199,3.791,CIF,-,27/11/2019,-,Sim
Centro Automotivo Lago de Michigan Ltda,"Rua Itinguçu, 853",Penha,IPIRANGA,4.199,3.794,CIF,-,07/11/2019,-,Sim
Avignon Comércio Varejista de Combustíveis Ltda.,"Avenida Condessa Elizabeth de Robiano, 3280",Jardim América da Penha,IPIRANGA,4.199,-,-,-,13/11/2019,-,Sim
Auto Posto Emelyn Ltda.,"Rua Siqueira Bueno, 1862",Bairro do Alem,IPIRANGA,4.199,3.843,CIF,-,13/11/2019,-,Sim
Auto Posto Rodovias Ltda,"Avenida Morvan Dias Figueiredo, 2605",Vila Guilherme,IPIRANGA,4.199,3.779,FOB,-,13/11/2019,-,Sim
Centro Automotivo Moleque Travesso Ltda,"Avenida Paes de Barros, 2630",Moóca,IPIRANGA,4.199,3.78,FOB,-,12/11/2019,-,Sim
Posto Jenner Ltda,"Rua Bueno de Andrade, 435",Aclimacao,RAIZEN,4.199,3.87,FOB,-,12/11/2019,-,Sim
Posto de Servicos Johnny Ltda,"Rua Professor Cardoso de Melo Neto, 445",Jardim Santa Terezinha,BRANCA,4.199,-,-,-,13/11/2019,-,Sim
Auto Posto Jwm Ltda,"Rua Vergueiro, 6689",Vila Firmiano Pinto,IPIRANGA,4.199,3.808,FOB,-,18/11/2019,-,Sim
Centro Automotivo Aguia Azul Ltda,"Avenida Prof Abraao de Morais, 258",Bosque da Saude,IPIRANGA,4.199,3.798,FOB,-,18/11/2019,-,Sim
Posto de Serviços Lins Ltda,"Avenida Conselheirocarrao, 800",Chacara California,IPIRANGA,4.199,3.769,FOB,-,19/11/2019,-,Sim
Posto de Serviços Trovão Ltda,"Avenida Dooratorio, 2782",Parque Sao Lucas,IPIRANGA,4.199,3.843,CIF,-,26/11/2019,-,Sim
Auto Posto Aprovado Ltda.,"Avenida Conselheiro Carrão, 2500",Vila Carrão,IPIRANGA,4.199,3.797,FOB,-,19/11/2019,-,Sim
Auto Posto Padre Adelino Ltda,"Rua Padre Adelino, 626",Belem,IPIRANGA,4.199,3.764,FOB,-,05/11/2019,-,Sim
Auto Posto Barao do Libano Ltda,"Avenida Zelina, 54 Terreo",Vila Zelina,RAIZEN,4.199,3.869,FOB,-,27/11/2019,-,Sim
Centro Automotivo Lago Vitoria Ltda,"Avenida Marechal Tito, 1118",São Miguel Paulista,IPIRANGA,4.199,3.748,CIF,-,13/11/2019,-,Sim
Auto Posto Vencedor Ltda,"Avenida Sapopemba, 5359",Sapopemba,RAIZEN,4.199,3.79,FOB,-,26/11/2019,-,Sim
Argetax Administracao e Participacoes em Empreendimentos Comerciais Ltda,"Rua Chico Pontes, 1292",Vila Guilherme,RAIZEN,4.199,3.851,CIF,-,27/11/2019,-,Sim
Auto Posto Mar Vida Ltda,"Avenida Nordestina, 1291",São Miguel Paulista,IPIRANGA,4.199,3.911,CIF,-,21/11/2019,-,Sim
Auto Posto Caetano Alvares Ltda,"Rua Epaminondas Melo do Amaral, 1707",Casa Verde,RAIZEN,4.199,3.819,CIF,-,21/11/2019,-,Sim
Posto Nossa Senhora do Aviso Ltda,"Avenida do Cursino, 3691",Vila Moraes,RAIZEN,4.199,3.871,FOB,-,25/11/2019,-,Sim
Speed Ii Posto de Serviços e Conveniências Ltda.,"Avenida Itaquera, 281",Parque Maria Luiza,IPIRANGA,4.199,3.801,FOB,-,27/11/2019,-,Sim
Auto Posto Flor de Lis Ltda,"Est das Lagrimas, 3185",Sao Joao Climaco,PETROBRAS DISTRIBUIDORA S.A.,4.199,3.798,CIF,-,25/11/2019,-,Sim
Auto Posto Cibele Eireli,"Avenida Julio Buono, 1747",Vila Gustavo,IPIRANGA,4.199,3.846,CIF,-,21/11/2019,-,Sim
Sheila Auto Posto Ltda,"Avenida Professor Alipio de Barros, 520",Jardim Maia,IPIRANGA,4.199,3.773,CIF,-,06/11/2019,-,Sim
Posto Turistico do Jaragua,"Estrada Turistica do Jaragua, 26",Jaraguá,IPIRANGA,4.199,-,-,-,06/11/2019,-,Sim
Posto de Serviços Jardim Brasil Ltda,"Avenida Roland Garros, 616",Jardim Brasil,BRANCA,4.199,-,-,-,06/11/2019,-,Sim
Sunset Posto de Servico e Conv. Ltda,"Rua Pereira Leite, 27",Alto dos Pinheiros,IPIRANGA,4.199,-,-,-,07/11/2019,-,Sim
Auto Posto 5000 Ltda,"Avenida Amador Bueno da Veiga, 2550",Vila Esperanca,IPIRANGA,4.199,-,-,-,05/11/2019,-,Sim
Distribuidor de Combustiveis Auto Posto Lindt Ltda,"Rua Goncalo Madeira, 305",Jaguare,BRANCA,4.199,-,-,-,06/11/2019,-,Sim
Posto Jacana Ltda,"Avenida Luiz Stamatis, 99",Jaçanã,BRANCA,4.199,4.034,CIF,IPIRANGA,06/11/2019,-,Sim
Auto Posto Maria Zelia Ltda,"Rua Jequitinhonha, 138",Belenzinho,PETROBRAS DISTRIBUIDORA S.A.,4.199,3.782,FOB,-,05/11/2019,-,Sim
Cisne Branco Auto Posto Ltda,"Avenida Doutor Gastao Vidigal, 2245",Vila Leopoldina,RAIZEN,4.199,-,-,-,07/11/2019,-,Sim
A.p. Vila Esperança Ltda,"Avenida Padre Olivetanos, 558",Penha de França,IPIRANGA,4.199,-,-,-,05/11/2019,-,Sim
Auto Posto Colina Ltda,"Rua dos Radialistas, 51",Parque Sao Domingos,RAIZEN,4.199,-,-,-,06/11/2019,-,Sim
Posto de Servicos Fernao Dias Ltda,"Rodovia Fernao Dias, S/n Km 86",Tucuruvi,RAIZEN,4.199,3.755,CIF,-,06/11/2019,-,Sim
Centro Automotivo Itingucu Ltda,"Rua Itingucu, 327",Vila Re,IPIRANGA,4.199,-,-,-,05/11/2019,-,Sim
Auto Posto de Servicos Eiras Garcia Ltda,"Avenida Eng Heitor A e Garcia, 2145",Jd. Raposo Tavares,PETROBRAS DISTRIBUIDORA S.A.,4.199,-,-,-,07/11/2019,-,Sim
Auto Posto Criatividade Ltda,"Avenida Sao Miguel, 1151",Vila Marieta,IPIRANGA,4.199,3.762,FOB,-,13/11/2019,-,Sim
Posto de Servicos Motormac Sao Bernardo Ltda,"Rua Giovanni da Conegliano, 842 Esquina Com Av. dos Ourives",Sacomã,RAIZEN,4.199,3.823,FOB,-,25/11/2019,-,Sim
Auto Posto Sapopetro Ltda,"Avenida Sapopemba, 6005",Sapopemba,IPIRANGA,4.199,-,-,-,26/11/2019,-,Sim
Auto Posto Alencar Ltda,"Rua Alencar Araripe, 1041",Ipiranga,BRANCA,4.199,3.596,FOB,ALESAT,25/11/2019,-,Sim
Centro Automotivo Petro 900 Ltda,"Avenida Ten Amaro F da Silveira, 1590",Pq Novo Mundo,PETROBRAS DISTRIBUIDORA S.A.,4.199,3.899,FOB,-,27/11/2019,-,Sim
A.p .pingo de Prata Ltda,"Avenida Doutor Eduardo Cotching, 1273",Vila Formosa,IPIRANGA,4.199,3.769,FOB,-,19/11/2019,-,Sim
Posto de Servico Libra Ltda,"Rua Vergueiro, 7011",Saude,IPIRANGA,4.199,3.797,FOB,-,18/11/2019,-,Sim
Posto de Servicos Ccs Ltda,"Avenida Conselheiro Carrão, 3002",Vila Carrão,RAIZEN,4.199,3.763,FOB,-,19/11/2019,-,Sim
Auto Posto City Aricanduva Ltda,"Rua Sebastiao de Andrade, 99",Vila Matilde,PETROBRAS DISTRIBUIDORA S.A.,4.199,-,-,-,21/11/2019,-,Sim
Centro Automotivo Lago Vostok Ltda,"Avenida Direitos Humanos, Esq. Com Rua Fortunato Minozzi, S/n",Casa Verde,IPIRANGA,4.199,3.811,FOB,-,21/11/2019,-,Sim
Auto Posto Golfo do Mexico Ltda,"Avenida Aricanduva, 4002 Terreo",Vila California,PETROBRAS DISTRIBUIDORA S.A.,4.199,3.806,FOB,-,27/11/2019,-,Sim
Auto Posto Grande Avenida Ltda,"Avenida do Cursino, 2599",Jardim da Saúde,RAIZEN,4.199,-,-,-,25/11/2019,-,Sim
Posto de Servicos Simba Ltda,"Avenida Padre Arlindo Vieira, 1977",Jardim Climax,BRANCA,4.199,3.64,FOB,NOROESTE,25/11/2019,-,Sim
Auto Posto Coronel Ltda - Me,"Rua Iliria, 105",Moinho Velho,PETROBRAS DISTRIBUIDORA S.A.,4.199,3.863,FOB,-,25/11/2019,-,Sim
Posto de Servicos Sao Luiz Ltda,"Av Maria Coelho Aguiar, 935",Jardim São Luiz,BRANCA,4.199,-,-,-,26/11/2019,-,Sim
Posto Barreira Grande Ltda,"Estrada da Barreira Grande, 1107",Sapopemba,PETROBRAS DISTRIBUIDORA S.A.,4.199,3.797,FOB,-,26/11/2019,-,Sim
Toninho Trinta Auto Posto Ltda,"Avenida do Jangadeiro, 34",Cidade Dutra,RAIZEN,4.199,3.881,CIF,-,25/11/2019,-,Sim
Auto Posto Casa Nova Ltda,"Avenida do Oratorio, 1.892",Vila Independencia,RAIZEN,4.199,3.826,FOB,-,26/11/2019,-,Sim
Auto Posto Glaussea Ltda,"Rua Tamuatá, 20",São João Climaco,RAIZEN,4.199,3.823,FOB,-,25/11/2019,-,Sim
Posto de Abastecimento Fiesta Ltda,"Avenida Guarapiranga, 597",Vila Socorro,IPIRANGA,4.199,-,-,-,25/11/2019,-,Sim
Naza Auto Posto Ltda,"Estrada do Lageado Velho, 38",Guaianazes,BRANCA,4.199,-,-,-,27/11/2019,-,Sim
Jose Maria Lopes & Cia Ltda,"Rua Carlos Rasquinho, Sn",Colonia Paulista,BRANCA,4.199,-,-,-,26/11/2019,-,Sim
Agua Funda Servicos Automotivos Ltda,"Avenida Dr Ricardo Jafet, 959",Ipiranga,RAIZEN,4.199,-,-,-,18/11/2019,-,Sim
Auto Posto Irmaos Melo Ltda,"Avenida Guilherme Giorgi, 795",Vila Carrão,IPIRANGA,4.199,3.827,FOB,-,19/11/2019,-,Sim
Centro Automotivo Lagos Andinos Ltda,"Avenida Miguel Stefano, 2309/11",Parque do Estado,IPIRANGA,4.199,-,-,-,18/11/2019,-,Sim
A. P. Tambiu Ltda,"Avenida Doutor Eduardo Cotching, 473",Vila Formosa,IPIRANGA,4.199,3.863,FOB,-,19/11/2019,-,Sim
Auto Posto Thabor Ltda,"Rua Tabor, 217",Ipiranga,IPIRANGA,4.229,3.804,FOB,-,12/11/2019,-,Sim
Auto Posto K2 Ltda,"Avenida Corifeu de Azevedo Marques, 3480",Vila Pirajussara,RAIZEN,4.249,-,-,-,07/11/2019,-,Sim
Auto Serviço Suelly Ltda,"Alameda 1º Sgto Basilio Nogueira da Costa, 70",Parque Novo Mundo,RAIZEN,4.249,3.879,CIF,-,27/11/2019,-,Sim
Century Auto Posto Ltda,"Rua Cantagalo, 2552",Tatuape,PETROBRAS DISTRIBUIDORA S.A.,4.249,-,-,-,19/11/2019,-,Sim
Auto Posto Sergio¿s Ltda,"Avenida Alexios Jafet, 1150",Jardim Ipanema,RAIZEN,4.249,-,-,-,06/11/2019,-,Sim
Auto Posto Dc-10 Ltda,"Avenida Corifeu de Azevedo Marques, 795",Butanta,PETROBRAS DISTRIBUIDORA S.A.,4.272,3.731,FOB,-,07/11/2019,-,Sim
Irmaos Takata Ltda,"Avenida Rio das Pedras, 3711",Vl Carrao,IPIRANGA,4.293,3.85,FOB,-,19/11/2019,-,Sim
Serviços Automotivos Pla Ltda,"Rua da Mooca, 2172",Moóca,IPIRANGA,4.295,-,-,-,05/11/2019,-,Sim
Auto Posto Guairaca Ltda,"Avenida do Oratorio, 3546",Vila Prudente,RAIZEN,4.297,3.795,FOB,-,26/11/2019,-,Sim
Posto de Servicos Profissionalismo Ltda,"Rua Bixira, 234",Alto da Mooca,IPIRANGA,4.299,-,-,-,12/11/2019,-,Sim
Auto Posto Ajomar Ltda,"Rua Silveira da Mota, 118",Cambucí,RAIZEN,4.299,3.878,FOB,-,12/11/2019,-,Sim
Auto Posto Lacerda Franco Ltda,"Avenida Lacerda Franco, 1793",Cambuci,IPIRANGA,4.299,-,-,-,12/11/2019,-,Sim
Centro Automotivo Portal das Perdizes Ltda,"Rua Dr. Franco da Rocha, 664",Perdizes,IPIRANGA,4.299,-,-,-,06/11/2019,-,Sim
Auto Posto Barrancao Eireli,"Avenida Miguel de Castro, 23",Pirituba,RAIZEN,4.299,-,-,-,06/11/2019,-,Sim
Auto Posto Pasil Ltda,"Rua Patapio Silva, 307",Jardim das Bandeiras,PETROBRAS DISTRIBUIDORA S.A.,4.299,-,-,-,07/11/2019,-,Sim
Auto Posto Maringa Ltda,"Avenida Julio Buono, 2526",Vila Gustavo,RAIZEN,4.299,3.871,CIF,-,06/11/2019,-,Sim
Auto Posto Edu Ltda,"Rua Luiz Stamatis, 220",Jaçanã,IPIRANGA,4.299,3.822,CIF,-,06/11/2019,-,Sim
Auto Posto Cavallari Ltda,"Avenida Nossa Senhora do O, 1145",Freguesia do Ó,IPIRANGA,4.299,-,-,-,13/11/2019,-,Sim
Centro Automotivo Toscana Ltda,"Avenida Senador Teotonio Vilela, 8300",Parelheiros,IPIRANGA,4.299,-,-,-,26/11/2019,-,Sim
Trevo Servicos Automotivos Limitada,"Avenida Pe Arlindo Vieira, 160",Saude,PETROBRAS DISTRIBUIDORA S.A.,4.299,-,-,-,25/11/2019,-,Sim
Auto Posto Grana Ltda,"Rua Cons Carrao, 501",Bela Vista,BRANCA,4.299,-,-,-,21/11/2019,-,Sim
Auto Posto Lider Agua Fria Ltda.,"Rua Maestro Joao Gomes de Araujo, 179",Santana,PETROBRAS DISTRIBUIDORA S.A.,4.299,-,-,-,21/11/2019,-,Sim
Auto Posto Renovacao Ltda,"Avenida Vila Ema, 3745",Vila Ema,IPIRANGA,4.299,3.884,FOB,-,27/11/2019,-,Sim
Posto Novo Parque Ltda,"Alameda 2 Sarg. Fabio Pavani, 418",Parque Novo Mundo,IPIRANGA,4.299,3.879,CIF,-,27/11/2019,-,Sim
Auto Posto Girao Ltda,"Estrada Dom Joao Nery, 4.123",Guaianazes,BRANCA,4.299,3.75,CIF,FLEXPETRO,27/11/2019,-,Sim
Arraias do Araguaia Auto Posto Ltda,"Pte Aricanduva, 8624",J S Cristovao,IPIRANGA,4.299,3.819,CIF,-,27/11/2019,-,Sim
Auto Posto Brasil 2005 Ltda,"V Anchieta, 1872",Moinho Velho,IPIRANGA,4.299,3.825,CIF,-,25/11/2019,-,Sim
Posto de Servico 101 Ltda,"Avenida Zelina, 101 Terreo",Vila Zelina,PETROBRAS DISTRIBUIDORA S.A.,4.299,-,-,-,27/11/2019,-,Sim
Mash-postos e Servicos Ltda,"Avenida Presidente Tancredo Neves, 1265",Vila Moinho Velho/vila Vera,RAIZEN,4.299,-,-,-,25/11/2019,-,Sim
Posto de Servico Confianca Ltda,"Avenida Morvam D de Figueiredo, 7035",Vila Maria,IPIRANGA,4.299,3.792,FOB,-,27/11/2019,-,Sim
Auto Posto Larraia Ltda,"Estrada do Campo Limpo, 2778",Campo Limpo,RAIZEN,4.299,3.924,CIF,-,27/11/2019,-,Sim
Auto Posto Jalisco Ltda.,"Avenida Conceiçao, 2017",Vila Ede,IPIRANGA,4.299,3.806,FOB,-,27/11/2019,-,Sim
Posto do Papai Anchieta Ltda,"Via Anchieta, 862",Moinho Velho,PETROBRAS DISTRIBUIDORA S.A.,4.299,3.826,FOB,-,25/11/2019,-,Sim
Auto Posto Columbia Ltda,"Estrada da Conceicao, 3249",Vl Medeiros,PETROBRAS DISTRIBUIDORA S.A.,4.299,-,-,-,27/11/2019,-,Sim
Gibraltar Gasolinas e Serviços Automotivos Ltda,"Rua Americo Brasiliense, 1729",Chacara Santo Antonio,RAIZEN,4.299,-,-,-,25/11/2019,-,Sim
Auto Posto Ingles de Souza Ltda,"Rua Ingles de Sousa, 341",Cambucí,RAIZEN,4.299,-,-,-,12/11/2019,-,Sim
Posto de Servico Bandeiraltda,"Estrada de Sao Miguel, 3771",Sao Miguel Paulista,IPIRANGA,4.299,3.772,CIF,-,13/11/2019,-,Sim
Bambini Auto Center Ltda,"Avenida Sao Miguel, 8705",São Miguel Paulista,PETROBRAS DISTRIBUIDORA S.A.,4.299,-,-,-,13/11/2019,-,Sim
Serviços Automotivos Tvr Ltda,"Avenida Afonso Lopes Baião, 900",Vila Carolina,BRANCA,4.299,-,-,-,21/11/2019,-,Sim
Centro Automotivo C.v.m Ltda,"Rua Caio Graco, 263",Vila Romana,ALESAT,4.299,-,-,-,21/11/2019,-,Sim
M. Martinez Combustiveis - Me,"Avenida Conselheiro Carrao, 1134",Vila Carrao,RAIZEN,4.299,3.842,FOB,-,19/11/2019,-,Sim
Auto Posto Chabin Ltda,"Rua Santa Cruz, 965",Vila Mariana,IPIRANGA,4.299,-,-,-,18/11/2019,-,Sim
Teca Servicos Automativos Ltda,"Rua Bela Cintra, 1365",Consolacao,BRANCA,4.299,3.849,CIF,PETROBRAS DISTRIBUIDORA S.A.,21/11/2019,-,Sim
Auto Posto Reivillo Ltda,"Rua Ribeiro de Barros, 18",Pompéia,RAIZEN,4.299,-,-,-,21/11/2019,-,Sim
Auto Posto Nova Conceicao Ltda,"Avenida Conceicao, 4270",Vila Maria,RAIZEN,4.299,3.838,CIF,-,27/11/2019,-,Sim
Auto Posto Zurick - Eireli,"Avenida Aricanduva, 1630",Vila Manchester,PETROBRAS DISTRIBUIDORA S.A.,4.299,-,-,-,27/11/2019,-,Sim
Posto de Servicos Guararapes Ltda,"Avenida Engenheiro Luiz Carlos Berrini, 725",Cidade Moncoes,IPIRANGA,4.299,-,-,-,25/11/2019,-,Sim
Auto Posto de Serviços Marv Ltda,"Avenida General Ataliba Leonel, 2451",Carandiru,IPIRANGA,4.299,3.915,CIF,-,21/11/2019,-,Sim
Posto de Servicos Copacabana Ltda,"Alameda Afonso Schmidt, 638",Santana,PETROBRAS DISTRIBUIDORA S.A.,4.299,-,-,-,21/11/2019,-,Sim
Auto Posto Alpha Ltda,"Rua Zanzibar, 80",Casa Verde,IPIRANGA,4.299,3.8,CIF,-,21/11/2019,-,Sim
Costa Brava Auto Center Ltda,"Avenida Otto Baumgart, S/n",Vila Guilherme,RAIZEN,4.299,3.858,CIF,-,21/11/2019,-,Sim
Auto Posto Bom Jesus de Pirapora Ltda,"Rua Espartaco, 626",Lapa,PETROBRAS DISTRIBUIDORA S.A.,4.299,-,-,-,21/11/2019,-,Sim
Auto Posto da Fé Ltda,"Avenida Conselheiro Carrão, 3481",Vila Carrão,RAIZEN,4.299,-,-,-,19/11/2019,-,Sim
Vicar Shop Auto Posto Ltda.,"Rua Monteiro de Melo, 497",Lapa,PETROBRAS DISTRIBUIDORA S.A.,4.299,-,-,-,21/11/2019,-,Sim
Formoso Posto de Servicos Automotivos Ltda.,"Rua Arace, 389",Vila Formosa,IPIRANGA,4.299,3.802,FOB,-,19/11/2019,-,Sim
