RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,PREÇO COMPRA,MODELIDADE DE COMPRA,FORNECEDOR (B BRANCA),DATA COLETA,DATA RECUSA,NOTA FISCAL
Posto de Servicos Natalia Ltda,"Rua Tamainde, 42",Vl Nova Manchester,BRANCA,3.899,3.53,FOB,FERA,19/11/2019,-,Sim
Posto de Servicos Petroplus Ltda,"Rua Ibitirama, 532",Vila Prudente,BRANCA,3.899,3.545,FOB,FERA,12/11/2019,-,Sim
Auto Posto Blue Ltda,"Avenida Otaviano Alves de Lima, 3600",Casa Verde,BRANCA,3.899,3.53,FOB,FERA,13/11/2019,-,Sim
Auto Posto Gigante Tancredo Ltda,"Avenida Presidente Tancredo Neves, 1600",Vila Nancy,BRANCA,3.899,3.525,FOB,FERA,18/11/2019,-,Sim
Vida Posto de Servicos Ltda,"Avenida Imirim, 921",Imirim,BRANCA,3.899,3.682,CIF,ASTER,21/11/2019,-,Sim
Novasoc Comercial Ltda,"Avenida Condessa Elisabeth de Robiano, 5500 Parte Ii",Jardim America da Penha,IPIRANGA,3.929,3.878,CIF,-,13/11/2019,-,Sim
Auto Posto Leitao Ltda,"Rua Waldemar Carlos Pereira, 2191",Vl Talarico,BRANCA,3.929,-,-,-,21/11/2019,-,Sim
Makro Atacadista S.a,"Rua Carmine Gaeta, 184 Vila Maria",Vila Maria,IPIRANGA,3.949,3.845,CIF,-,13/11/2019,-,Sim
Jardim Norte Posto de Serviços & Conveniências Ltda.,"Rua Padre João Gualberto, 701",Imirim,IPIRANGA,3.949,-,-,-,21/11/2019,-,Sim
Auto Posto Perola do M'boi Mirim Ltda,"Rua M'boi Mirim, 6155",Jardim Angela,BRANCA,3.949,3.648,CIF,ASTER,26/11/2019,-,Sim
Autto Posto Espelho do Sol Ltda.,"Estrada M Boi Mirim, 2704",Jardim Regina,BRANCA,3.949,3.648,CIF,ASTER,26/11/2019,-,Sim
Rede Martha Comercio de Combustiveis Ltda,"Rua Salvador Gianetti, 118",Guaianazes,BRANCA,3.949,3.57,FOB,FERA,27/11/2019,-,Sim
Auto Posto Scuby Ltda,"Avenida Nova Cantareira, 27",Tucuruvi,BRANCA,3.949,3.55,FOB,FERA,21/11/2019,-,Sim
Auto Posto V12 Ltda.,"Avenida Guilherme Cotching, 458",Vila Maria,BRANCA,3.949,3.66,CIF,D`MAIS,27/11/2019,-,Sim
Fabio Motta Marques,"Avenida Condessa Elizabeth Robiano, 2222",Penha de França,RAIZEN,3.949,-,-,-,13/11/2019,-,Sim
Nova Laredo Auto Posto Ltda,"Avenida Mal Tito, 1688",S Miguel Paulista,BRANCA,3.949,3.63,FOB,NOROESTE,13/11/2019,-,Sim
Carrefour Comercio e Industria Ltda,"Avenida Morvan Dias Figueiredo, 3177 Parte",Vila Guilherme,RAIZEN,3.949,3.749,CIF,-,13/11/2019,-,Sim
Posto de Servicos Aster Ranieri Ii Ltda,"Estrada do M Boi Mirim, 5450",Jardim Angela (zona Sul),BRANCA,3.949,3.648,CIF,ASTER,26/11/2019,-,Sim
Cortesia Auto Posto de Serviços Ltda,"Avenida Sapopemba, 1213",Água Rasa,RAIZEN,3.949,3.78,FOB,-,13/11/2019,-,Sim
Auto Posto Coronel Diogo Ltda.,"Rua Coronel Diogo, 678",Aclimação,BRANCA,3.949,-,-,-,12/11/2019,-,Sim
Auto Posto Medrano Servicos Automotivos Ltda,"Rua da Mooca, 1033",Mooca,BRANCA,3.959,-,-,-,05/11/2019,-,Sim
Posto de Servico Apolo 8 Ltda,"Avenida Morvan Dias de Figueiredo, 2391",Vila Guilherme,IPIRANGA,3.969,3.764,CIF,-,13/11/2019,-,Sim
Auto Posto Alto da Aclimacao Ltda,"Avenida Aclimacao, 11",Aclimacao,BRANCA,3.969,3.645,FOB,STOCK,12/11/2019,-,Sim
Auto Posto Paula Ferreira Ltda,"Avenida Paula Ferreira, 1397",Vila Bonilha,BRANCA,3.975,-,-,-,06/11/2019,-,Sim
Auto Posto Sao Severo Ltda,"Rua Sao Severo, 813",Vila Re,BRANCA,3.978,3.51,FOB,FERA,05/11/2019,-,Sim
Auto Posto Rota Radial Ltda,"Rua Piratininga, 1017",Bras,BRANCA,3.979,3.568,FOB,-,13/11/2019,-,Sim
Novasoc Comercial Ltda,"Rua Dr. Audizio de Alencar, 251 Parte",Ipiranga,IPIRANGA,3.979,3.796,CIF,-,18/11/2019,-,Sim
Companhia Brasileira de Distribuicao,"Avenida Dr. Ricardo Jafet, 1501 Parte",Vila Santa Eulalia,IPIRANGA,3.979,3.802,FOB,-,18/11/2019,-,Sim
Estacao de Servicos Automotivos Amisterda Ltda.,"Avenida Dr. Pereira Vergueiro, 537",Vila Nhocune,BRANCA,3.979,3.73,FOB,D`MAIS,21/11/2019,-,Sim
Auto Postao I Ltda.,"Rua Sebastiao Goncalves Silva, 111",Casa Verde,RAIZEN,3.979,3.83,CIF,-,21/11/2019,-,Sim
Auto Posto Festa Ltda,"Avenida do Cursino, 2230",Jardim da Saude,BRANCA,3.979,-,-,-,18/11/2019,-,Sim
D`avo Supermercados Ltda,"Estrada Itaquera-guaianazes, 2100",Jardim Helena,IPIRANGA,3.979,-,-,-,27/11/2019,-,Sim
Auto Posto Riga Ltda,"Via Anchieta, 1751",Moinho Velho,PETROBRAS DISTRIBUIDORA S.A.,3.979,-,-,-,25/11/2019,-,Sim
Capri Comercio de Lubrificantes Ltda.,"Avenida Lider, 1579",Cidade Lider,BRANCA,3.979,3.648,CIF,ASTER,27/11/2019,-,Sim
Auto Posto Cid Car Ltda,"Rua Maciel Monteiro, 176",Artur Alvim,BRANCA,3.979,3.53,FOB,FERA,21/11/2019,-,Sim
